n,array_type,algorithm,threshold,time_us
10500,reversed,hybrid,30,566
10500,reversed,hybrid,50,765
10500,almost,merge,0,804
10500,almost,hybrid,5,653
10500,almost,hybrid,10,609
10500,almost,hybrid,20,566
10500,almost,hybrid,30,536
10500,almost,hybrid,50,524
11500,random,merge,0,732
11500,random,hybrid,5,639
11500,random,hybrid,10,1051
11500,random,hybrid,20,711
11500,random,hybrid,30,549
11500,random,hybrid,50,440
11500,reversed,merge,0,985
11500,reversed,hybrid,5,940
11500,reversed,hybrid,10,747
11500,reversed,hybrid,20,591
11500,reversed,hybrid,30,646
11500,reversed,hybrid,50,890
11500,almost,merge,0,883
11500,almost,hybrid,5,758
11500,almost,hybrid,10,718
11500,almost,hybrid,20,652
11500,almost,hybrid,30,603
11500,almost,hybrid,50,574
12500,random,merge,0,830
12500,random,hybrid,5,684
12500,random,hybrid,10,610
12500,random,hybrid,20,539
12500,random,hybrid,30,469
12500,random,hybrid,50,412
12500,reversed,merge,0,845
12500,reversed,hybrid,5,717
12500,reversed,hybrid,10,664
12500,reversed,hybrid,20,642
12500,reversed,hybrid,30,724
12500,reversed,hybrid,50,1052
12500,almost,merge,0,984
12500,almost,hybrid,5,1101
12500,almost,hybrid,10,774
12500,almost,hybrid,20,703
12500,almost,hybrid,30,671
12500,almost,hybrid,50,660
13500,random,merge,0,900
13500,random,hybrid,5,727
13500,random,hybrid,10,672
13500,random,hybrid,20,575
13500,random,hybrid,30,508
13500,random,hybrid,50,500
13500,reversed,merge,0,868
13500,reversed,hybrid,5,770
13500,reversed,hybrid,10,722
13500,reversed,hybrid,20,717
13500,reversed,hybrid,30,813
13500,reversed,hybrid,50,826
13500,almost,merge,0,1017
13500,almost,hybrid,5,876
13500,almost,hybrid,10,887
13500,almost,hybrid,20,1338
13500,almost,hybrid,30,911
13500,almost,hybrid,50,731
14500,random,merge,0,1008
14500,random,hybrid,5,829
14500,random,hybrid,10,794
14500,random,hybrid,20,659
14500,random,hybrid,30,537
14500,random,hybrid,50,531
14500,reversed,merge,0,982
14500,reversed,hybrid,5,862
14500,reversed,hybrid,10,770
14500,reversed,hybrid,20,741
14500,reversed,hybrid,30,899
14500,reversed,hybrid,50,887
14500,almost,merge,0,1148
14500,almost,hybrid,5,949
14500,almost,hybrid,10,908
14500,almost,hybrid,20,820
14500,almost,hybrid,30,759
14500,almost,hybrid,50,776
15500,random,merge,0,981
15500,random,hybrid,5,798
15500,random,hybrid,10,737
