n,array_type,algorithm,threshold,time_us
50500,reversed,hybrid,20,2966
50500,reversed,hybrid,30,3301
50500,reversed,hybrid,50,4544
50500,almost,merge,0,4441
50500,almost,hybrid,5,3806
50500,almost,hybrid,10,3661
50500,almost,hybrid,20,3360
50500,almost,hybrid,30,3281
50500,almost,hybrid,50,3065
51500,random,merge,0,3791
51500,random,hybrid,5,3163
51500,random,hybrid,10,2872
51500,random,hybrid,20,2610
51500,random,hybrid,30,2417
51500,random,hybrid,50,2157
51500,reversed,merge,0,3860
51500,reversed,hybrid,5,3405
51500,reversed,hybrid,10,3135
51500,reversed,hybrid,20,2964
51500,reversed,hybrid,30,3350
51500,reversed,hybrid,50,4214
51500,almost,merge,0,4539
51500,almost,hybrid,5,4442
51500,almost,hybrid,10,5908
51500,almost,hybrid,20,3445
51500,almost,hybrid,30,3264
51500,almost,hybrid,50,3733
52500,random,merge,0,4505
52500,random,hybrid,5,3415
52500,random,hybrid,10,2869
52500,random,hybrid,20,2632
52500,random,hybrid,30,2316
52500,random,hybrid,50,2335
52500,reversed,merge,0,3863
52500,reversed,hybrid,5,3514
52500,reversed,hybrid,10,3198
52500,reversed,hybrid,20,3122
52500,reversed,hybrid,30,3523
52500,reversed,hybrid,50,3483
52500,almost,merge,0,4652
52500,almost,hybrid,5,3939
52500,almost,hybrid,10,3778
52500,almost,hybrid,20,3518
52500,almost,hybrid,30,3279
52500,almost,hybrid,50,3268
53500,random,merge,0,3776
53500,random,hybrid,5,3181
53500,random,hybrid,10,2979
53500,random,hybrid,20,2712
53500,random,hybrid,30,2428
53500,random,hybrid,50,2436
53500,reversed,merge,0,4130
53500,reversed,hybrid,5,3539
53500,reversed,hybrid,10,3293
53500,reversed,hybrid,20,3154
53500,reversed,hybrid,30,3571
53500,reversed,hybrid,50,3562
53500,almost,merge,0,4741
53500,almost,hybrid,5,4012
53500,almost,hybrid,10,3931
53500,almost,hybrid,20,3680
53500,almost,hybrid,30,3391
53500,almost,hybrid,50,3347
54500,random,merge,0,3940
54500,random,hybrid,5,3338
54500,random,hybrid,10,3040
54500,random,hybrid,20,2735
54500,random,hybrid,30,2449
54500,random,hybrid,50,2453
54500,reversed,merge,0,4268
54500,reversed,hybrid,5,3726
54500,reversed,hybrid,10,3488
54500,reversed,hybrid,20,3207
54500,reversed,hybrid,30,3862
54500,reversed,hybrid,50,3817
54500,almost,merge,0,4840
54500,almost,hybrid,5,4259
54500,almost,hybrid,10,3925
54500,almost,hybrid,20,3712
54500,almost,hybrid,30,3521
54500,almost,hybrid,50,3390
55500,random,merge,0,4085
55500,random,hybrid,5,3379
55500,random,hybrid,10,3277
55500,random,hybrid,20,2935
55500,random,hybrid,30,2511
55500,random,hybrid,50,2719
55500,reversed,merge,0,4126
55500,reversed,hybrid,5,3612
55500,reversed,hybrid,10,3407
55500,reversed,hybrid,20,3272
55500,reversed,hybrid,30,3784
55500,reversed,hybrid,50,3822
55500,almost,merge,0,4936
55500,almost,hybrid,5,4299
55500,almost,hybrid,10,4104
55500,almost,hybrid,20,3866
55500,almost,hybrid,30,3560
55500,almost,hybrid,50,3435
56500,random,merge,0,4142
56500,random,hybrid,5,3462
56500,random,hybrid,10,3141
56500,random,hybrid,20,2823
56500,random,hybrid,30,2523
56500,random,hybrid,50,2530
56500,reversed,merge,0,4204
56500,reversed,hybrid,5,3715
56500,reversed,hybrid,10,3487
56500,reversed,hybrid,20,3450
56500,reversed,hybrid,30,3910
56500,reversed,hybrid,50,3961
56500,almost,merge,0,5223
56500,almost,hybrid,5,4244
56500,almost,hybrid,10,4025
56500,almost,hybrid,20,3746
56500,almost,hybrid,30,3554
56500,almost,hybrid,50,3529
57500,random,merge,0,4419
57500,random,hybrid,5,3524
57500,random,hybrid,10,3223
57500,random,hybrid,20,2865
57500,random,hybrid,30,2578
57500,random,hybrid,50,2648
57500,reversed,merge,0,4379
57500,reversed,hybrid,5,3744
57500,reversed,hybrid,10,3500
57500,reversed,hybrid,20,3537
57500,reversed,hybrid,30,4145
57500,reversed,hybrid,50,4184
57500,almost,merge,0,4958
57500,almost,hybrid,5,4486
57500,almost,hybrid,10,4136
57500,almost,hybrid,20,3905
57500,almost,hybrid,30,3820
57500,almost,hybrid,50,3771
58500,random,merge,0,4361
58500,random,hybrid,5,3622
58500,random,hybrid,10,3390
58500,random,hybrid,20,2909
58500,random,hybrid,30,2616
58500,random,hybrid,50,2606
58500,reversed,merge,0,4496
58500,reversed,hybrid,5,3788
58500,reversed,hybrid,10,3527
58500,reversed,hybrid,20,3582
58500,reversed,hybrid,30,4107
58500,reversed,hybrid,50,4069
58500,almost,merge,0,5153
58500,almost,hybrid,5,4434
58500,almost,hybrid,10,4186
58500,almost,hybrid,20,3893
58500,almost,hybrid,30,3667
58500,almost,hybrid,50,3794
59500,random,merge,0,4309
59500,random,hybrid,5,3550
59500,random,hybrid,10,3283
59500,random,hybrid,20,3003
59500,random,hybrid,30,2760
59500,random,hybrid,50,2651
59500,reversed,merge,0,4618
59500,reversed,hybrid,5,3894
59500,reversed,hybrid,10,3597
59500,reversed,hybrid,20,3595
59500,reversed,hybrid,30,4181
59500,reversed,hybrid,50,4162
59500,almost,merge,0,5294
59500,almost,hybrid,5,4527
59500,almost,hybrid,10,4281
59500,almost,hybrid,20,3965
59500,almost,hybrid,30,3710
59500,almost,hybrid,50,3825
60500,random,merge,0,4476
60500,random,hybrid,5,3776
60500,random,hybrid,10,3467
60500,random,hybrid,20,3028
60500,random,hybrid,30,2932
60500,random,hybrid,50,2768
60500,reversed,merge,0,4789
60500,reversed,hybrid,5,4037
60500,reversed,hybrid,10,3717
60500,reversed,hybrid,20,3839
60500,reversed,hybrid,30,4465
60500,reversed,hybrid,50,4333
60500,almost,merge,0,5526
60500,almost,hybrid,5,4760
60500,almost,hybrid,10,4505
60500,almost,hybrid,20,4089
60500,almost,hybrid,30,3893
60500,almost,hybrid,50,3972
61500,random,merge,0,4520
61500,random,hybrid,5,3675
61500,random,hybrid,10,3442
61500,random,hybrid,20,3122
61500,random,hybrid,30,2736
61500,random,hybrid,50,2953
61500,reversed,merge,0,4655
61500,reversed,hybrid,5,3959
61500,reversed,hybrid,10,3713
61500,reversed,hybrid,20,3671
61500,reversed,hybrid,30,4357
61500,reversed,hybrid,50,4423
61500,almost,merge,0,5358
61500,almost,hybrid,5,4634
61500,almost,hybrid,10,4344
61500,almost,hybrid,20,4337
61500,almost,hybrid,30,3867
61500,almost,hybrid,50,3890
62500,random,merge,0,4390
62500,random,hybrid,5,3754
62500,random,hybrid,10,3583
62500,random,hybrid,20,3171
62500,random,hybrid,30,2947
62500,random,hybrid,50,2832
62500,reversed,merge,0,5832
62500,reversed,hybrid,5,4631
62500,reversed,hybrid,10,3817
62500,reversed,hybrid,20,3770
62500,reversed,hybrid,30,4087
62500,reversed,hybrid,50,4668
62500,almost,merge,0,5782
62500,almost,hybrid,5,5022
62500,almost,hybrid,10,4576
62500,almost,hybrid,20,4353
62500,almost,hybrid,30,4067
62500,almost,hybrid,50,4043
63500,random,merge,0,4714
63500,random,hybrid,5,3754
63500,random,hybrid,10,3468
63500,random,hybrid,20,3133
63500,random,hybrid,30,3130
63500,random,hybrid,50,2854
63500,reversed,merge,0,4842
63500,reversed,hybrid,5,4085
63500,reversed,hybrid,10,3917
63500,reversed,hybrid,20,3899
63500,reversed,hybrid,30,3973
63500,reversed,hybrid,50,4786
63500,almost,merge,0,6278
63500,almost,hybrid,5,5020
63500,almost,hybrid,10,4641
63500,almost,hybrid,20,4311
63500,almost,hybrid,30,4327
63500,almost,hybrid,50,4011
64500,random,merge,0,4550
64500,random,hybrid,5,3794
64500,random,hybrid,10,3597
64500,random,hybrid,20,3154
64500,random,hybrid,30,3193
64500,random,hybrid,50,2904
64500,reversed,merge,0,5077
64500,reversed,hybrid,5,4340
64500,reversed,hybrid,10,4028
64500,reversed,hybrid,20,4066
64500,reversed,hybrid,30,4108
64500,reversed,hybrid,50,4847
64500,almost,merge,0,5838
64500,almost,hybrid,5,4911
64500,almost,hybrid,10,4605
64500,almost,hybrid,20,4272
64500,almost,hybrid,30,4257
64500,almost,hybrid,50,4094
65500,random,merge,0,4626
65500,random,hybrid,5,3962
65500,random,hybrid,10,3842
65500,random,hybrid,20,3370
65500,random,hybrid,30,3372
65500,random,hybrid,50,3079
65500,reversed,merge,0,5058
65500,reversed,hybrid,5,4342
65500,reversed,hybrid,10,4032
65500,reversed,hybrid,20,4055
65500,reversed,hybrid,30,4143
65500,reversed,hybrid,50,4831
65500,almost,merge,0,6080
65500,almost,hybrid,5,5008
65500,almost,hybrid,10,4718
65500,almost,hybrid,20,4361
65500,almost,hybrid,30,4373
65500,almost,hybrid,50,4154
66500,random,merge,0,4792
66500,random,hybrid,5,3962
66500,random,hybrid,10,3691
66500,random,hybrid,20,3348
66500,random,hybrid,30,3308
66500,random,hybrid,50,2998
66500,reversed,merge,0,4967
66500,reversed,hybrid,5,4298
66500,reversed,hybrid,10,4086
66500,reversed,hybrid,20,4201
66500,reversed,hybrid,30,4174
66500,reversed,hybrid,50,5080
66500,almost,merge,0,5979
66500,almost,hybrid,5,5228
66500,almost,hybrid,10,4994
66500,almost,hybrid,20,4586
66500,almost,hybrid,30,4547
66500,almost,hybrid,50,4267
67500,random,merge,0,4891
67500,random,hybrid,5,4047
67500,random,hybrid,10,3754
67500,random,hybrid,20,3380
67500,random,hybrid,30,3373
67500,random,hybrid,50,3172
67500,reversed,merge,0,5391
67500,reversed,hybrid,5,4556
67500,reversed,hybrid,10,4078
67500,reversed,hybrid,20,4159
67500,reversed,hybrid,30,4398
67500,reversed,hybrid,50,5057
67500,almost,merge,0,6007
67500,almost,hybrid,5,5346
67500,almost,hybrid,10,4939
67500,almost,hybrid,20,4722
67500,almost,hybrid,30,4589
67500,almost,hybrid,50,4280
68500,random,merge,0,5302
68500,random,hybrid,5,4221
68500,random,hybrid,10,3898
68500,random,hybrid,20,3411
68500,random,hybrid,30,3382
68500,random,hybrid,50,3341
68500,reversed,merge,0,5599
68500,reversed,hybrid,5,4394
68500,reversed,hybrid,10,4262
68500,reversed,hybrid,20,4299
68500,reversed,hybrid,30,4545
68500,reversed,hybrid,50,5362
68500,almost,merge,0,6110
68500,almost,hybrid,5,5383
68500,almost,hybrid,10,4994
68500,almost,hybrid,20,4582
68500,almost,hybrid,30,4589
68500,almost,hybrid,50,4477
69500,random,merge,0,5204
69500,random,hybrid,5,5031
69500,random,hybrid,10,4122
69500,random,hybrid,20,3450
69500,random,hybrid,30,3460
69500,random,hybrid,50,3134
69500,reversed,merge,0,5653
69500,reversed,hybrid,5,5102
69500,reversed,hybrid,10,4377
69500,reversed,hybrid,20,4474
69500,reversed,hybrid,30,4374
69500,reversed,hybrid,50,5502
69500,almost,merge,0,6213
69500,almost,hybrid,5,5265
69500,almost,hybrid,10,5077
69500,almost,hybrid,20,5011
69500,almost,hybrid,30,4658
69500,almost,hybrid,50,4438
70500,random,merge,0,5323
70500,random,hybrid,5,4228
70500,random,hybrid,10,3886
70500,random,hybrid,20,3475
70500,random,hybrid,30,3545
70500,random,hybrid,50,3251
70500,reversed,merge,0,5748
70500,reversed,hybrid,5,4563
70500,reversed,hybrid,10,4321
70500,reversed,hybrid,20,4409
70500,reversed,hybrid,30,4654
70500,reversed,hybrid,50,5560
70500,almost,merge,0,6352
70500,almost,hybrid,5,5395
70500,almost,hybrid,10,5210
70500,almost,hybrid,20,4828
70500,almost,hybrid,30,4925
70500,almost,hybrid,50,4458
71500,random,merge,0,5311
71500,random,hybrid,5,4219
71500,random,hybrid,10,3918
71500,random,hybrid,20,3557
71500,random,hybrid,30,3525
71500,random,hybrid,50,3985
71500,reversed,merge,0,5704
71500,reversed,hybrid,5,4918
71500,reversed,hybrid,10,4437
71500,reversed,hybrid,20,4499
71500,reversed,hybrid,30,4439
71500,reversed,hybrid,50,5571
71500,almost,merge,0,6195
71500,almost,hybrid,5,5441
71500,almost,hybrid,10,5091
71500,almost,hybrid,20,4852
71500,almost,hybrid,30,4803
71500,almost,hybrid,50,5263
72500,random,merge,0,5299
72500,random,hybrid,5,4406
72500,random,hybrid,10,4078
72500,random,hybrid,20,3620
72500,random,hybrid,30,3596
72500,random,hybrid,50,3167
72500,reversed,merge,0,5658
72500,reversed,hybrid,5,4621
72500,reversed,hybrid,10,4419
72500,reversed,hybrid,20,4700
72500,reversed,hybrid,30,4479
72500,reversed,hybrid,50,6075
72500,almost,merge,0,6674
72500,almost,hybrid,5,5558
72500,almost,hybrid,10,5189
72500,almost,hybrid,20,4882
72500,almost,hybrid,30,4982
72500,almost,hybrid,50,4584
73500,random,merge,0,5251
73500,random,hybrid,5,4424
73500,random,hybrid,10,5053
73500,random,hybrid,20,3711
73500,random,hybrid,30,3688
73500,random,hybrid,50,3356
73500,reversed,merge,0,5600
73500,reversed,hybrid,5,4966
73500,reversed,hybrid,10,4594
73500,reversed,hybrid,20,4732
73500,reversed,hybrid,30,4647
73500,reversed,hybrid,50,5692
73500,almost,merge,0,6452
73500,almost,hybrid,5,5526
73500,almost,hybrid,10,5568
73500,almost,hybrid,20,5004
73500,almost,hybrid,30,5147
73500,almost,hybrid,50,4838
74500,random,merge,0,5647
74500,random,hybrid,5,4549
74500,random,hybrid,10,4111
74500,random,hybrid,20,3716
74500,random,hybrid,30,3690
74500,random,hybrid,50,3367
74500,reversed,merge,0,5684
74500,reversed,hybrid,5,4725
74500,reversed,hybrid,10,4593
74500,reversed,hybrid,20,4702
74500,reversed,hybrid,30,4749
74500,reversed,hybrid,50,5839
74500,almost,merge,0,6710
74500,almost,hybrid,5,5852
74500,almost,hybrid,10,5333
74500,almost,hybrid,20,5143
74500,almost,hybrid,30,5125
74500,almost,hybrid,50,4746
75500,random,merge,0,5588
75500,random,hybrid,5,4687
75500,random,hybrid,10,4297
75500,random,hybrid,20,3908
75500,random,hybrid,30,3843
75500,random,hybrid,50,3353
75500,reversed,merge,0,5914
75500,reversed,hybrid,5,4779
75500,reversed,hybrid,10,4726
75500,reversed,hybrid,20,4799
75500,reversed,hybrid,30,4931
75500,reversed,hybrid,50,5939
75500,almost,merge,0,6711
75500,almost,hybrid,5,5643
75500,almost,hybrid,10,5306
75500,almost,hybrid,20,5471
75500,almost,hybrid,30,4990
75500,almost,hybrid,50,4805
76500,random,merge,0,5852
76500,random,hybrid,5,4537
76500,random,hybrid,10,4214
76500,random,hybrid,20,3794
76500,random,hybrid,30,3887
76500,random,hybrid,50,3489
76500,reversed,merge,0,6045
76500,reversed,hybrid,5,4819
76500,reversed,hybrid,10,4636
76500,reversed,hybrid,20,5112
76500,reversed,hybrid,30,4824
76500,reversed,hybrid,50,6072
76500,almost,merge,0,6898
76500,almost,hybrid,5,5792
76500,almost,hybrid,10,5500
76500,almost,hybrid,20,5299
76500,almost,hybrid,30,5297
76500,almost,hybrid,50,4931
77500,random,merge,0,5645
77500,random,hybrid,5,4885
77500,random,hybrid,10,4243
77500,random,hybrid,20,3907
77500,random,hybrid,30,3814
77500,random,hybrid,50,3601
77500,reversed,merge,0,5963
77500,reversed,hybrid,5,5079
77500,reversed,hybrid,10,4975
77500,reversed,hybrid,20,5449
77500,reversed,hybrid,30,4993
77500,reversed,hybrid,50,6389
77500,almost,merge,0,7360
77500,almost,hybrid,5,5845
77500,almost,hybrid,10,5687
77500,almost,hybrid,20,5197
77500,almost,hybrid,30,5200
77500,almost,hybrid,50,4985
78500,random,merge,0,5807
78500,random,hybrid,5,4764
78500,random,hybrid,10,4312
78500,random,hybrid,20,4544
78500,random,hybrid,30,3895
78500,random,hybrid,50,3488
78500,reversed,merge,0,6879
78500,reversed,hybrid,5,5650
78500,reversed,hybrid,10,4779
78500,reversed,hybrid,20,5109
78500,reversed,hybrid,30,5125
78500,reversed,hybrid,50,7855
78500,almost,merge,0,8468
78500,almost,hybrid,5,5951
78500,almost,hybrid,10,5676
78500,almost,hybrid,20,5237
78500,almost,hybrid,30,5270
78500,almost,hybrid,50,5259
79500,random,merge,0,6053
79500,random,hybrid,5,4771
79500,random,hybrid,10,4491
79500,random,hybrid,20,4089
79500,random,hybrid,30,4033
79500,random,hybrid,50,3592
79500,reversed,merge,0,6293
79500,reversed,hybrid,5,5240
79500,reversed,hybrid,10,4890
79500,reversed,hybrid,20,5836
79500,reversed,hybrid,30,5293
79500,reversed,hybrid,50,6778
79500,almost,merge,0,7100
79500,almost,hybrid,5,6090
79500,almost,hybrid,10,5652
79500,almost,hybrid,20,5448
79500,almost,hybrid,30,9500
79500,almost,hybrid,50,8263
80500,random,merge,0,6053
80500,random,hybrid,5,5276
80500,random,hybrid,10,4490
80500,random,hybrid,20,3922
80500,random,hybrid,30,4264
80500,random,hybrid,50,3705
80500,reversed,merge,0,6346
80500,reversed,hybrid,5,5340
80500,reversed,hybrid,10,4937
80500,reversed,hybrid,20,5157
80500,reversed,hybrid,30,5165
80500,reversed,hybrid,50,6901
80500,almost,merge,0,7696
80500,almost,hybrid,5,11786
80500,almost,hybrid,10,11235
80500,almost,hybrid,20,5838
80500,almost,hybrid,30,5339
80500,almost,hybrid,50,5185
81500,random,merge,0,6078
81500,random,hybrid,5,4869
81500,random,hybrid,10,4569
81500,random,hybrid,20,4052
81500,random,hybrid,30,4664
81500,random,hybrid,50,3619
81500,reversed,merge,0,6908
81500,reversed,hybrid,5,5205
81500,reversed,hybrid,10,4940
81500,reversed,hybrid,20,5284
81500,reversed,hybrid,30,5424
81500,reversed,hybrid,50,6764
81500,almost,merge,0,7402
81500,almost,hybrid,5,6404
81500,almost,hybrid,10,6097
81500,almost,hybrid,20,5581
81500,almost,hybrid,30,5622
81500,almost,hybrid,50,5430
82500,random,merge,0,6260
82500,random,hybrid,5,5005
82500,random,hybrid,10,4649
82500,random,hybrid,20,4194
82500,random,hybrid,30,4130
82500,random,hybrid,50,3918
82500,reversed,merge,0,6690
82500,reversed,hybrid,5,5304
82500,reversed,hybrid,10,5340
82500,reversed,hybrid,20,5423
82500,reversed,hybrid,30,5687
82500,reversed,hybrid,50,6844
82500,almost,merge,0,7475
82500,almost,hybrid,5,6343
82500,almost,hybrid,10,6179
82500,almost,hybrid,20,5684
82500,almost,hybrid,30,5641
82500,almost,hybrid,50,5284
83500,random,merge,0,6211
83500,random,hybrid,5,5072
83500,random,hybrid,10,4686
83500,random,hybrid,20,4430
83500,random,hybrid,30,4691
83500,random,hybrid,50,5451
83500,reversed,merge,0,7809
83500,reversed,hybrid,5,5420
83500,reversed,hybrid,10,5281
83500,reversed,hybrid,20,5278
83500,reversed,hybrid,30,5491
83500,reversed,hybrid,50,7063
83500,almost,merge,0,7558
83500,almost,hybrid,5,7331
83500,almost,hybrid,10,6099
83500,almost,hybrid,20,5724
83500,almost,hybrid,30,5700
83500,almost,hybrid,50,5364
84500,random,merge,0,6267
84500,random,hybrid,5,5128
84500,random,hybrid,10,5848
84500,random,hybrid,20,4832
84500,random,hybrid,30,4205
84500,random,hybrid,50,4014
84500,reversed,merge,0,6627
84500,reversed,hybrid,5,5443
84500,reversed,hybrid,10,5389
84500,reversed,hybrid,20,5273
84500,reversed,hybrid,30,5480
84500,reversed,hybrid,50,7205
84500,almost,merge,0,7628
84500,almost,hybrid,5,6602
84500,almost,hybrid,10,6163
84500,almost,hybrid,20,5904
84500,almost,hybrid,30,5626
84500,almost,hybrid,50,5459
85500,random,merge,0,6405
85500,random,hybrid,5,5238
85500,random,hybrid,10,4875
85500,random,hybrid,20,4620
85500,random,hybrid,30,4178
85500,random,hybrid,50,3939
85500,reversed,merge,0,6654
85500,reversed,hybrid,5,5843
85500,reversed,hybrid,10,5464
85500,reversed,hybrid,20,5286
85500,reversed,hybrid,30,5673
85500,reversed,hybrid,50,7422
85500,almost,merge,0,7948
85500,almost,hybrid,5,6783
85500,almost,hybrid,10,6518
85500,almost,hybrid,20,6394
85500,almost,hybrid,30,5881
85500,almost,hybrid,50,5564
86500,random,merge,0,6548
86500,random,hybrid,5,5376
86500,random,hybrid,10,5114
86500,random,hybrid,20,4862
86500,random,hybrid,30,4430
86500,random,hybrid,50,3920
86500,reversed,merge,0,6999
86500,reversed,hybrid,5,5775
86500,reversed,hybrid,10,5565
86500,reversed,hybrid,20,5398
86500,reversed,hybrid,30,5825
86500,reversed,hybrid,50,7705
86500,almost,merge,0,8342
86500,almost,hybrid,5,7385
86500,almost,hybrid,10,7971
86500,almost,hybrid,20,7925
86500,almost,hybrid,30,10767
86500,almost,hybrid,50,8562
87500,random,merge,0,8734
87500,random,hybrid,5,5616
87500,random,hybrid,10,5094
87500,random,hybrid,20,4813
87500,random,hybrid,30,4381
87500,random,hybrid,50,3913
87500,reversed,merge,0,6968
87500,reversed,hybrid,5,5840
87500,reversed,hybrid,10,5528
87500,reversed,hybrid,20,5473
87500,reversed,hybrid,30,5929
87500,reversed,hybrid,50,7694
87500,almost,merge,0,8345
87500,almost,hybrid,5,6933
87500,almost,hybrid,10,6596
87500,almost,hybrid,20,6315
87500,almost,hybrid,30,5947
87500,almost,hybrid,50,5894
88500,random,merge,0,6573
88500,random,hybrid,5,5654
88500,random,hybrid,10,5209
88500,random,hybrid,20,4950
88500,random,hybrid,30,4549
88500,random,hybrid,50,3921
88500,reversed,merge,0,6888
88500,reversed,hybrid,5,6169
88500,reversed,hybrid,10,5845
88500,reversed,hybrid,20,5542
88500,reversed,hybrid,30,5876
88500,reversed,hybrid,50,8643
88500,almost,merge,0,8711
88500,almost,hybrid,5,6909
88500,almost,hybrid,10,6637
88500,almost,hybrid,20,6424
88500,almost,hybrid,30,6076
88500,almost,hybrid,50,6009
89500,random,merge,0,6883
89500,random,hybrid,5,5589
89500,random,hybrid,10,5401
89500,random,hybrid,20,4996
89500,random,hybrid,30,4404
89500,random,hybrid,50,4125
89500,reversed,merge,0,7071
89500,reversed,hybrid,5,6105
89500,reversed,hybrid,10,5807
89500,reversed,hybrid,20,5495
89500,reversed,hybrid,30,6002
89500,reversed,hybrid,50,8583
89500,almost,merge,0,8244
89500,almost,hybrid,5,7051
89500,almost,hybrid,10,6960
89500,almost,hybrid,20,6577
89500,almost,hybrid,30,6548
89500,almost,hybrid,50,6216
90500,random,merge,0,6769
90500,random,hybrid,5,5660
90500,random,hybrid,10,5364
90500,random,hybrid,20,4942
90500,random,hybrid,30,4734
90500,random,hybrid,50,4143
90500,reversed,merge,0,7031
90500,reversed,hybrid,5,6150
90500,reversed,hybrid,10,5915
90500,reversed,hybrid,20,5685
90500,reversed,hybrid,30,6285
90500,reversed,hybrid,50,8284
90500,almost,merge,0,8625
90500,almost,hybrid,5,7263
90500,almost,hybrid,10,6978
90500,almost,hybrid,20,6802
90500,almost,hybrid,30,6467
90500,almost,hybrid,50,6657
91500,random,merge,0,7898
91500,random,hybrid,5,5816
91500,random,hybrid,10,5451
91500,random,hybrid,20,5012
91500,random,hybrid,30,4556
91500,random,hybrid,50,4068
91500,reversed,merge,0,7294
91500,reversed,hybrid,5,6267
91500,reversed,hybrid,10,5936
91500,reversed,hybrid,20,5766
91500,reversed,hybrid,30,6191
91500,reversed,hybrid,50,8157
91500,almost,merge,0,8214
91500,almost,hybrid,5,7378
91500,almost,hybrid,10,7015
91500,almost,hybrid,20,6876
91500,almost,hybrid,30,6563
91500,almost,hybrid,50,6266
92500,random,merge,0,6935
92500,random,hybrid,5,5957
92500,random,hybrid,10,5657
92500,random,hybrid,20,5239
92500,random,hybrid,30,4644
92500,random,hybrid,50,4231
92500,reversed,merge,0,7189
92500,reversed,hybrid,5,6358
92500,reversed,hybrid,10,6095
92500,reversed,hybrid,20,5667
92500,reversed,hybrid,30,6243
92500,reversed,hybrid,50,8231
92500,almost,merge,0,8562
92500,almost,hybrid,5,7519
92500,almost,hybrid,10,7033
92500,almost,hybrid,20,6742
92500,almost,hybrid,30,6620
92500,almost,hybrid,50,6195
93500,random,merge,0,7350
93500,random,hybrid,5,6016
93500,random,hybrid,10,5524
93500,random,hybrid,20,5176
93500,random,hybrid,30,4717
93500,random,hybrid,50,4170
93500,reversed,merge,0,9273
93500,reversed,hybrid,5,7647
93500,reversed,hybrid,10,7150
93500,reversed,hybrid,20,5822
93500,reversed,hybrid,30,6334
93500,reversed,hybrid,50,8863
93500,almost,merge,0,8536
93500,almost,hybrid,5,7522
93500,almost,hybrid,10,7507
93500,almost,hybrid,20,7449
93500,almost,hybrid,30,6352
93500,almost,hybrid,50,6064
94500,random,merge,0,7153
94500,random,hybrid,5,6130
94500,random,hybrid,10,5677
94500,random,hybrid,20,5610
94500,random,hybrid,30,5066
94500,random,hybrid,50,4240
94500,reversed,merge,0,7752
94500,reversed,hybrid,5,6524
94500,reversed,hybrid,10,6211
94500,reversed,hybrid,20,5852
94500,reversed,hybrid,30,6754
94500,reversed,hybrid,50,8683
94500,almost,merge,0,8876
94500,almost,hybrid,5,7834
94500,almost,hybrid,10,7290
94500,almost,hybrid,20,6852
94500,almost,hybrid,30,6378
94500,almost,hybrid,50,6162
95500,random,merge,0,7743
95500,random,hybrid,5,6257
95500,random,hybrid,10,6373
95500,random,hybrid,20,5183
95500,random,hybrid,30,4730
95500,random,hybrid,50,4460
95500,reversed,merge,0,8455
95500,reversed,hybrid,5,6651
95500,reversed,hybrid,10,6154
95500,reversed,hybrid,20,5909
95500,reversed,hybrid,30,6698
95500,reversed,hybrid,50,8752
95500,almost,merge,0,9784
95500,almost,hybrid,5,9008
95500,almost,hybrid,10,7989
95500,almost,hybrid,20,7037
95500,almost,hybrid,30,6399
95500,almost,hybrid,50,6679
96500,random,merge,0,7093
96500,random,hybrid,5,6253
96500,random,hybrid,10,5714
96500,random,hybrid,20,5338
96500,random,hybrid,30,4714
96500,random,hybrid,50,4448
96500,reversed,merge,0,7761
96500,reversed,hybrid,5,6720
96500,reversed,hybrid,10,6247
96500,reversed,hybrid,20,6238
96500,reversed,hybrid,30,6633
96500,reversed,hybrid,50,8916
96500,almost,merge,0,8745
96500,almost,hybrid,5,8387
96500,almost,hybrid,10,7604
96500,almost,hybrid,20,7088
96500,almost,hybrid,30,7119
96500,almost,hybrid,50,6320
97500,random,merge,0,7446
97500,random,hybrid,5,6389
97500,random,hybrid,10,5843
97500,random,hybrid,20,5396
97500,random,hybrid,30,5023
97500,random,hybrid,50,4316
97500,reversed,merge,0,7780
97500,reversed,hybrid,5,6857
97500,reversed,hybrid,10,6562
97500,reversed,hybrid,20,6210
97500,reversed,hybrid,30,6840
97500,reversed,hybrid,50,9506
97500,almost,merge,0,9453
97500,almost,hybrid,5,8194
97500,almost,hybrid,10,7791
97500,almost,hybrid,20,7008
97500,almost,hybrid,30,7300
97500,almost,hybrid,50,6300
98500,random,merge,0,7650
98500,random,hybrid,5,6409
98500,random,hybrid,10,6331
98500,random,hybrid,20,5401
98500,random,hybrid,30,4765
98500,random,hybrid,50,4499
98500,reversed,merge,0,7966
98500,reversed,hybrid,5,7660
98500,reversed,hybrid,10,6351
98500,reversed,hybrid,20,6172
98500,reversed,hybrid,30,7030
98500,reversed,hybrid,50,9503
98500,almost,merge,0,8894
98500,almost,hybrid,5,7948
98500,almost,hybrid,10,7612
98500,almost,hybrid,20,7006
98500,almost,hybrid,30,6692
98500,almost,hybrid,50,6594
99500,random,merge,0,7981
99500,random,hybrid,5,6375
99500,random,hybrid,10,6102
99500,random,hybrid,20,5480
99500,random,hybrid,30,5120
99500,random,hybrid,50,4933
99500,reversed,merge,0,8421
99500,reversed,hybrid,5,7375
99500,reversed,hybrid,10,6521
99500,reversed,hybrid,20,6413
99500,reversed,hybrid,30,6903
99500,reversed,hybrid,50,9350
99500,almost,merge,0,9387
99500,almost,hybrid,5,8230
99500,almost,hybrid,10,7749
99500,almost,hybrid,20,7319
99500,almost,hybrid,30,6697
99500,almost,hybrid,50,6496
